title,url,inlinks,word_count,recommended_action,canonical_target,flags,final_action,priority,note
New Policy Changes Impacting Local Businesses Announced - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-2/,51,296,301_to_canonical_or_noindex_then_merge,https://defiliban.io/policy-changes-impacting-local-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impacting Local Businesses Announced Today - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-9/,54,357,301_to_canonical_or_noindex_then_merge,https://defiliban.io/local-business-policy-changes/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
PSG Confirms Bitcoin Holdings as Treasury Strategy - DeFiliban,https://defiliban.io/psg-bitcoin-treasury-strategy-2/,56,653,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Peter Brandt Predicts 75% Bitcoin Price Correction - DeFiliban,https://defiliban.io/peter-brandt-bitcoin-price-correction-2/,48,706,301_to_canonical_or_noindex_then_merge,https://defiliban.io/peter-brandt-bitcoin-price-correction/,numeric_suffix,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/peter-brandt-bitcoin-price-correction/
Peter Schiff Critiques Bitcoin Amid China's Gold Strategy - DeFiliban,https://defiliban.io/peter-schiff-criticizes-bitcoin-gold-2/,61,825,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Press Release - DeFiliban,https://defiliban.io/press-release/page/2/,27,117,301_to_canonical_or_noindex_then_merge,https://defiliban.io/press-release/,thin-ish,noindex_subpage,low,"Pagination subpage; noindex is enough, no redirect needed."
REX Shares Files for Ethereum and Solana ETFs - DeFiliban,https://defiliban.io/rex-shares-ethereum-solana-etfs-3/,56,894,301_to_canonical_or_noindex_then_merge,https://defiliban.io/rex-shares-ethereum-solana-etfs/,numeric_suffix,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/rex-shares-ethereum-solana-etfs/
REX Shares Files for Ethereum and Solana ETFs in US - DeFiliban,https://defiliban.io/rex-shares-ethereum-solana-etfs-2/,50,785,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
REX Shares Files for Ethereum and Solana Staking ETFs - DeFiliban,https://defiliban.io/rex-shares-ethereum-solana-staking-etfs-2/,50,809,301_to_canonical_or_noindex_then_merge,https://defiliban.io/rex-shares-ethereum-solana-staking-etfs/,numeric_suffix,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/rex-shares-ethereum-solana-staking-etfs/
REX Shares Files for Ethereum and Solana Staking ETFs - DeFiliban,https://defiliban.io/rex-shares-ethereum-solana-staking-etfs-3/,61,687,301_to_canonical_or_noindex_then_merge,https://defiliban.io/rex-shares-ethereum-solana-staking-etfs/,numeric_suffix;thin-ish,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/rex-shares-ethereum-solana-staking-etfs/
SEC Announces Project Crypto for Clear Cryptocurrency Regulations - DeFiliban,https://defiliban.io/sec-project-crypto-regulations-4/,54,744,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
SEC Launches Project Crypto to Modernize Regulations - DeFiliban,https://defiliban.io/sec-project-crypto-regulations-3/,51,711,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
SEC Launches Project Crypto to Revise U.S. Regulations - DeFiliban,https://defiliban.io/sec-project-crypto-regulations-2/,54,847,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Senate Democrats Introduce CLARITY Act for Digital Assets - DeFiliban,https://defiliban.io/clarity-act-digital-assets-regulation-2/,50,840,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
SharpLink Gaming Shares Drop 20% After Ethereum Acquisition - DeFiliban,https://defiliban.io/sharplink-gaming-ethereum-acquisition-2/,54,629,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Shiba Inu Token Burn Rate Surges by 790% - DeFiliban,https://defiliban.io/shiba-inu-token-burn-rate-2/,50,747,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Significant Outflows from Bitcoin and Ethereum ETFs Reported - DeFiliban,https://defiliban.io/bitcoin-ethereum-etf-outflows-2/,54,833,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
"Spot Bitcoin ETF Records $74.53M Net Outflow on March 24, 2026",https://defiliban.io/spot-bitcoin-etf-outflow-march-24-2026-2/,53,1114,301_to_canonical_or_noindex_then_merge,https://defiliban.io/spot-bitcoin-etf-outflow-march-24-2026/,numeric_suffix,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/spot-bitcoin-etf-outflow-march-24-2026/
Tether Becomes Largest Non-Sovereign Gold Holder - DeFiliban,https://defiliban.io/tether-largest-gold-holder-2/,54,787,301_to_canonical_or_noindex_then_merge,https://defiliban.io/tether-gold-holdings-strategy/,numeric_suffix,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/tether-gold-holdings-strategy/
"Tether Q1 Profit Hits $1.04B, Reserve Buffer Climbs to $8.23B",https://defiliban.io/tether-q1-profit-reserve-buffer-8-23-billion-2/,48,810,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
U.S. Government Holds $17.8 Billion in Cryptocurrencies - DeFiliban,https://defiliban.io/us-government-cryptocurrency-holdings-2/,51,781,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
U.S. House Passes GENIUS Act for Stablecoin Regulation - DeFiliban,https://defiliban.io/genius-act-stablecoin-regulation-2/,49,809,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
U.S. Roundtable Discusses CLARITY Act for Digital Assets - DeFiliban,https://defiliban.io/clarity-act-digital-assets-regulation-3/,49,804,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Uniswap Foundation FY 2025 Financial Summary Shows Runway Through January 2027,https://defiliban.io/uniswap-foundation-fy-2025-financial-summary-january-2027-runway-2/,48,963,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Vancouver Explores Bitcoin Integration in City Finances - DeFiliban,https://defiliban.io/vancouver-bitcoin-integration-study/,55,796,301_to_canonical_or_noindex_then_merge,https://defiliban.io/vancouver-bitcoin-financial-integration/,,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/vancouver-bitcoin-financial-integration/
Vanguard Enables Trading of Third-Party Crypto ETFs - DeFiliban,https://defiliban.io/vanguard-third-party-crypto-etfs-2/,49,727,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
"While Ripple Plays the Long Game, Zero Knowledge Proof Just Became 2025’s Fastest-Growing Crypto With 100x Potential!",https://defiliban.io/while-ripple-plays-the-long-game-zero-knowledge-proof-just-became-2025s-fastest-growing-crypto-with-100x-potential-2/,52,1264,301_to_canonical_or_noindex_then_merge,https://defiliban.io/while-ripple-plays-the-long-game-zero-knowledge-proof-just-became-2025s-fastest-growing-crypto-with-100x-potential/,numeric_suffix,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/while-ripple-plays-the-long-game-zero-knowledge-proof-just-became-2025s-fastest-growing-crypto-with-100x-potential/
